Name,LinkedIn URL,Company / Role,Category,Headline (actual or best approximation),About / Bio Summary,Scott's Notes,Relevance to Scott
Guillermo Rauch,linkedin.com/in/rauchg/,CEO & Founder at Vercel,DevTools,CEO at Vercel,"Creator of Next.js. Built Socket.io, Mongoose, other open-source tools. Mission: make the web faster. Posts mix product vision with technical depth.",,Study how he frames developer pain in founder terms
Jake Cooper,linkedin.com/in/thejakecooper,Founder & CEO at Railway,DevTools,Founder & CEO at Railway,"Young founder who started Railway in college. Builder-in-public narrative. Developer infrastructure focus.",,Good model for lean startup energy
Mitchell Hashimoto,linkedin.com/in/mitchellh/,Co-Founder of HashiCorp,DevTools,Co-Founder of HashiCorp,"Created Terraform, Vagrant, Consul, Vault. Transitioned CEO to CTO to IC. Now building Ghostty terminal emulator independently.",,Shows how to list multiple high-impact projects
Tom Preston-Werner,linkedin.com/in/mojombo/,Co-Founder of GitHub / GP at Preston-Werner Ventures,DevTools / Investor,Co-Founder of GitHub,"GitHub co-founder turned early-stage investor (175+ investments). Created TOML format. Clean founder-to-investor transition.",,Study founder-to-investor arc
Christina Cacioppo,linkedin.com/in/ccacioppo/,Co-Founder & CEO at Vanta,B2B SaaS / Security,CEO and cofounder at Vanta,"Former Google APM. Built Vanta from idea to $2.45B compliance platform. Backed by Sequoia, Y Combinator, Goldman Sachs.",,Direct model: PM-to-founder arc
Cristina Cordova,linkedin.com/in/cristinajcordova,COO at Linear (ex-Stripe / Notion),DevTools / Operator,"COO at Linear, leading Go-To-Market and Operations","COO at Linear leading GTM and ops. Active angel investor (Notion, WorkOS, Metronome, Baseten, Ashby). Loves partnering with sharp opinionated technical teams building with conviction. Previously led partnerships at Notion and 7 years at Stripe building financial services partnerships.",,MOST RELEVANT: BD-to-exec positioning is exactly Scott's arc
Elad Gil,linkedin.com/in/eladgil/,Investor / Author at Gil Capital,Investor / AI,Investor and Author,"Author of High Growth Handbook. Ex-Google (VP), Color Health co-founder. Co-hosts No Priors podcast with Sarah Guo. Raising $1.5B+ fund.",,Study how he positions breadth of experience
Jason Warner,linkedin.com/in/jcw148/,Co-Founder & CEO at Poolside,DevTools / AI,"Co-founder at Poolside | Board at Bridgewater & Atlassian | Fmr CTO GitHub, Heroku, Canonical","Self-describes as average programmer who became GitHub CTO. Team oversaw creation of GitHub Copilot. Now building Poolside (AI for software development). Previously MD at Redpoint Ventures.",,Study the vulnerability + ambition combo
Amjad Masad,linkedin.com/in/amjadmasad/,Founder & CEO at Replit,DevTools / AI,CEO and founder of Replit,"Mission: bring the next billion software creators online. Ex-Facebook JS infra tech lead (built/maintained Babel, Jest, React Native packager). Employee #1 at Codecademy. Believes software creation should be accessible regardless of place or economic status.",,Study how personal story amplifies founder narrative
Zach Lloyd,linkedin.com/in/zachlloyd/,Founder & CEO at Warp,DevTools,Founder / CEO at Warp,"Ex-Google Principal Engineer (led Google Sheets). Built Warp in Rust to reinvent the terminal for modern developers. Technical depth pivoting to entrepreneurship.",,Study big-tech-to-founder transition
Quinn Slack,linkedin.com/in/quinnslack/,Co-Founder & CEO at Sourcegraph / Amp Code,DevTools / AI,CEO and Co-Founder at Sourcegraph / Amp Code,"Stanford CS. Decade-long founder journey. Recently split Sourcegraph and Amp Code into separate companies. Consistent theme of making code accessible and understandable.",,Study long-game founder positioning
Sarah Guo,linkedin.com/in/sarahxguo/,Founder & Managing Partner at Conviction,AI / Investor,"Technology Executive, Investor & Advisor","Used to do advanced R&D. Now invests in and works with startups. Youngest GP in Greylock history then founded Conviction (AI-focused fund). Backed Harvey, Mistral, Sierra. Co-hosts No Priors podcast. 2025 Midas Seed list.",,Study how she positions AI expertise for investors
Dario Amodei,linkedin.com/in/dario-amodei-3934934/,Co-Founder & CEO at Anthropic,AI / Safety,CEO and Co-Founder at Anthropic,"TIME 100 Most Influential. Ex-VP Research at OpenAI. Neuroscience PhD from Princeton. Sparse but authoritative LinkedIn presence. Bridges deep research credentials with CEO leadership of $60B+ company.",,Study mission-driven safety positioning at scale
Daniela Amodei,linkedin.com/in/daniela-amodei-790bb22a/,Co-Founder & President at Anthropic,AI / Safety / Non-Technical,President & Co-Founder at Anthropic,"Non-technical co-founder of leading AI safety company. Ex-VP Operations at Stripe. Humanities background. Recently quoted: studying humanities will be 'more important than ever' in the age of AI.",,MOST RELEVANT: Non-technical co-founder in AI safety
Dan Hendrycks,linkedin.com/in/dan-hendrycks-04062395/,Director at CAIS,AI / Safety,Director at CAIS,"Founded the Center for AI Safety. Helped draft the AI extinction risk statement signed by hundreds of leaders. Academic credentials plus real-world policy impact. Safety adviser at xAI.",,Study how safety mission translates to LinkedIn presence
Helen Toner,linkedin.com/in/helen-toner-4162439a/,Director of Strategy at Georgetown CSET,AI / Safety / Governance,Director of Strategy at Georgetown CSET,"Former OpenAI board member. Chemical engineering background pivoted to AI safety and governance. Oxford and Georgetown policy expertise. Compelling career-pivot narrative.",,Study career-pivot-to-AI-safety framing
Ian Hogarth,linkedin.com/in/ianhogarth,Chair of UK AI Safety Institute / Co-Founder at Plural,AI / Safety / Investor,"Chair UK AI Safety Institute, Co-founder Plural, Co-founder Songkick","TIME 100 Most Influential in AI (2023). Balances entrepreneur (Songkick founder), investor (150+ companies via Plural), and government advisor roles. Co-authors annual State of AI report.",,Study how to position multiple roles credibly
Jeremie Harris,linkedin.com/in/jeremieharris/,CEO & Co-Founder at Gladstone AI,AI / Safety,CEO & Co-Founder of Gladstone AI,"Promotes responsible AI R&D by designing safeguards against AI-driven national security threats. Physics PhD. Authored AI safety report for US government. Bestselling author and podcast host.",,Study policy-meets-startup positioning
Claire Vo,linkedin.com/in/clairevo/,CPO at LaunchDarkly / Founder of ChatPRD,DevTools / Non-Technical Origin,"Chief Product Officer at LaunchDarkly | Building ChatPRD.ai | Startups, Leadership, Product x Engineering, and AI","PM + Eng + AI + startups. 3x CPO (LaunchDarkly, Color Health, Optimizely). Started career as copywriter. Founded ChatPRD (bootstrapped, #1 AI tool for PMs). Hosts 'How I AI' podcast. Based in SF.",,MOST RELEVANT: Non-technical origin to technical builder arc
Kanjun Qiu,linkedin.com/in/kanjun/,Co-Founder & CEO at Imbue,AI / Safety,Co-Founder & CEO at Imbue,"First Chief of Staff at Dropbox (~age 22). Founded Sourceress. Now leading Imbue ($230M raised AI research lab building coding agent tools). Forbes 30 Under 30. MIT CS.",,Study how diverse experience feeds into AI founder credibility
